"Matricula","Cod_Disciplina","Cod_Evasao","Nome_Disciplina","Media_Disciplina","Periodo","Situacao"
"B691",1411180,0,"LABORATÓRIO DE PROGRAMAÇÃO I",0,2002.2,"Reprovado por Falta"
"B691",1109035,0,"ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA",0,2003.2,"Reprovado por Falta"
"B691",1411180,0,"LABORATÓRIO DE PROGRAMAÇÃO I",0,2003.1,"Reprovado por Falta"
"B691",1307151,0,"LEITURA E PRODUCAO DE TEXTOS",0,2002.2,"Reprovado por Falta"
"B691",1411167,0,"PROGRAMAÇÃO I",0,2002.1,"Reprovado por Falta"
"B691",1411180,0,"LABORATÓRIO DE PROGRAMAÇÃO I",0,2003.2,"Reprovado por Falta"
"B691",1411174,0,"INTRODUÇÃO A COMPUTAÇÃO",0,2003.2,"Reprovado por Falta"
"B691",1411167,0,"PROGRAMAÇÃO I",0,2003.1,"Reprovado por Falta"
"B691",1411174,1,"INTRODUÇÃO A COMPUTAÇÃO",0,2004.1,"Reprovado por Falta"
"B691",1109103,0,"CALCULO DIFERENCIAL E INTEGRAL I",0,2003.1,"Reprovado por Falta"
"B691",1307150,1,"INGLÊS",0,2004.1,"Reprovado por Falta"
"B691",1109103,0,"CALCULO DIFERENCIAL E INTEGRAL I",0,2002.2,"Reprovado por Falta"
"B691",1411180,0,"LABORATÓRIO DE PROGRAMAÇÃO I",0,2002.1,"Reprovado por Falta"
"B691",1305220,0,"INFORMÁTICA E SOCIEDADE",0,2003.2,"Reprovado por Falta"
"B691",1301014,1,"ADMINISTRAÇÃO",0,2004.1,"Reprovado por Falta"
