"Matricula","Periodo","Periodo_Curso","P1","P2","LP1","IC","LP2","Discreta","Eda","Leda","Grafos","TC"
"B11774",2004.1,1,57,0,57,65,0,0,0,0,0,0
"B11774",2004.2,2,0,35,0,0,78,59,0,0,53,0
"B11774",2005.1,2,0,70,0,0,0,0,0,0,0,0
"B11774",2005.1,3,0,0,0,0,0,0,0,0,0,67
"B11774",2005.2,3,0,0,0,0,0,0,50,57,0,0
"B11776",2008.1,1,91,0,93,93,0,0,0,0,0,0
"B11776",2008.2,2,0,90,0,0,96,82,0,0,85,0
"B11776",2009.1,3,0,0,0,0,0,0,71,89,0,61
"B11777",2002.1,1,94,0,94,84,0,0,0,0,0,0
"B11777",2002.2,2,0,82,0,0,89,28,0,0,77,0
"B11777",2003.1,3,0,0,0,0,0,0,32,45,0,0
"B11777",2003.2,2,0,0,0,0,0,55,0,0,0,0
"B11777",2003.2,3,0,0,0,0,0,0,28,37,0,0
"B11777",2004.1,3,0,0,0,0,0,0,73,73,0,72
"B11778",2003.1,1,80,0,83,79,0,0,0,0,0,0
"B11778",2003.2,2,0,72,0,0,83,71,0,0,74,0
"B11778",2004.1,3,0,0,0,0,0,0,51,87,0,74
"B11782",2008.2,1,73,0,64,83,0,0,0,0,0,0
"B11782",2009.1,2,0,85,0,0,88,72,0,0,70,0
"B11782",2009.2,3,0,0,0,0,0,0,18,77,0,72
"B11783",2003.2,1,60,0,80,58,0,0,0,0,0,0
"B11783",2004.1,2,0,56,0,0,72,67,0,0,52,0
"B11783",2004.2,3,0,0,0,0,0,0,51,72,0,65
"B11786",2009.1,1,50,0,58,0,0,0,0,0,0,0
"B11786",2009.2,2,0,45,0,0,77,35,0,0,50,0
"B11786",2010.1,2,0,53,0,0,0,34,0,0,0,0
"B11786",2010.2,2,0,0,0,0,0,58,0,0,0,0
"B11786",2010.2,3,0,0,0,0,0,0,28,75,0,0
"B11786",2011.1,3,0,0,0,0,0,0,33,0,0,50
"B11786",2014.1,3,0,0,0,0,0,0,78,0,0,0
"B11855",2012.1,1,32,0,31,74,0,0,0,0,0,0
"B11855",2012.2,1,83,0,83,0,0,0,0,0,0,0
